STATUS;VALID_ON;LOT_TYPE_FK;IDE_CG_REF;IDE_CRM_GROUP_REF;IDE_POSITION_REF;IDE_POSITION_TYPE;IDE_EXP_CPTY_REF;IDE_COL_CPTY_REF;RCA_COL_MAX
5;20231231;1;CRM_0950436_021645;CRM_0950436;POS_021645;3;;;
5;20231231;1;CRM_0950437_021649;CRM_0950437;POS_021649;3;;;
5;20231231;1;CRM_0950465_021734;CRM_0950465;POS_021734;3;;;
5;20231231;1;CRM_0950482_021790;CRM_0950482;POS_021790;3;;;
5;20231231;1;CRM_0950512_021861;CRM_0950512;POS_021861;3;;;
5;20231231;1;CRM_0950535_021926;CRM_0950535;POS_021926;3;;;
5;20231231;1;CRM_0950536_021932;CRM_0950536;POS_021932;3;;;
5;20231231;1;CRM_0950542_021944;CRM_0950542;POS_021944;3;;;
5;20231231;1;CRM_0950553_021969;CRM_0950553;POS_021969;3;;;
5;20231231;1;CRM_0950563_021995;CRM_0950563;POS_021995;3;;;
5;20231231;1;CRM_0950565_022003;CRM_0950565;POS_022003;3;;;
5;20231231;1;CRM_0950572_022018;CRM_0950572;POS_022018;3;;;
5;20231231;1;CRM_0950576_022031;CRM_0950576;POS_022031;3;;;
5;20231231;1;CRM_0950588_022063;CRM_0950588;POS_022063;3;;;
5;20231231;1;CRM_0950599_022087;CRM_0950599;POS_022087;3;;;
5;20231231;1;CRM_0950600_022089;CRM_0950600;POS_022089;3;;;
5;20231231;1;CRM_0950603_022094;CRM_0950603;POS_022094;3;;;
5;20231231;1;CRM_0950605_022096;CRM_0950605;POS_022096;3;;;
5;20231231;1;CRM_0950606_022099;CRM_0950606;POS_022099;3;;;
5;20231231;1;CRM_0950634_022165;CRM_0950634;POS_022165;3;;;
5;20231231;1;CRM_0950636_022169;CRM_0950636;POS_022169;3;;;
5;20231231;1;CRM_0950645_022183;CRM_0950645;POS_022183;3;;;
5;20231231;1;CRM_0950649_022192;CRM_0950649;POS_022192;3;;;
5;20231231;1;CRM_0950660_022216;CRM_0950660;POS_022216;3;;;
5;20231231;1;CRM_0950671_022245;CRM_0950671;POS_022245;3;;;
5;20231231;1;CRM_0950672_022249;CRM_0950672;POS_022249;3;;;
5;20231231;1;CRM_0950693_022302;CRM_0950693;POS_022302;3;;;
5;20231231;1;CRM_0950699_022313;CRM_0950699;POS_022313;3;;;
5;20231231;1;CRM_0950703_022318;CRM_0950703;POS_022318;3;;;
5;20231231;1;CRM_0950712_022338;CRM_0950712;POS_022338;3;;;
5;20231231;1;CRM_0950720_022358;CRM_0950720;POS_022358;3;;;
5;20231231;1;CRM_0950727_022374;CRM_0950727;POS_022374;3;;;
5;20231231;1;CRM_0950730_022386;CRM_0950730;POS_022386;3;;;
5;20231231;1;CRM_0950731_022388;CRM_0950731;POS_022388;3;;;
5;20231231;1;CRM_0950737_022399;CRM_0950737;POS_022399;3;;;
5;20231231;1;CRM_0950742_022414;CRM_0950742;POS_022414;3;;;
5;20231231;1;CRM_0950743_022415;CRM_0950743;POS_022415;3;;;
5;20231231;1;CRM_0950751_022432;CRM_0950751;POS_022432;3;;;
5;20231231;1;CRM_0950753_022437;CRM_0950753;POS_022437;3;;;
5;20231231;1;CRM_0950754_022439;CRM_0950754;POS_022439;3;;;
5;20231231;1;CRM_0950763_022460;CRM_0950763;POS_022460;3;;;
5;20231231;1;CRM_0950765_022464;CRM_0950765;POS_022464;3;;;
5;20231231;1;CRM_0950774_022478;CRM_0950774;POS_022478;3;;;
5;20231231;1;CRM_0950775_022479;CRM_0950775;POS_022479;3;;;
5;20231231;1;CRM_0950776_022481;CRM_0950776;POS_022481;3;;;
5;20231231;1;CRM_0950777_022482;CRM_0950777;POS_022482;3;;;
5;20231231;1;CRM_0950787_022494;CRM_0950787;POS_022494;3;;;
5;20231231;1;CRM_0950789_022496;CRM_0950789;POS_022496;3;;;
5;20231231;1;CRM_0950790_022497;CRM_0950790;POS_022497;3;;;
5;20231231;1;CRM_0950799_022517;CRM_0950799;POS_022517;3;;;
5;20231231;1;CRM_0950806_022529;CRM_0950806;POS_022529;3;;;
5;20231231;1;CRM_0950809_022533;CRM_0950809;POS_022533;3;;;
5;20231231;1;CRM_0950811_022538;CRM_0950811;POS_022538;3;;;
5;20231231;1;CRM_0950812_022542;CRM_0950812;POS_022542;3;;;
5;20231231;1;CRM_0950820_022561;CRM_0950820;POS_022561;3;;;
5;20231231;1;CRM_0950827_022575;CRM_0950827;POS_022575;3;;;
5;20231231;1;CRM_0950829_022577;CRM_0950829;POS_022577;3;;;
5;20231231;1;CRM_0950839_022602;CRM_0950839;POS_022602;3;;;
5;20231231;1;CRM_0950845_022610;CRM_0950845;POS_022610;3;;;
5;20231231;1;CRM_0950848_022614;CRM_0950848;POS_022614;3;;;
5;20231231;1;CRM_0950854_022628;CRM_0950854;POS_022628;3;;;
5;20231231;1;CRM_0950861_022645;CRM_0950861;POS_022645;3;;;
5;20231231;1;CRM_0950866_022653;CRM_0950866;POS_022653;3;;;
5;20231231;1;CRM_0950869_022657;CRM_0950869;POS_022657;3;;;
5;20231231;1;CRM_0950871_022660;CRM_0950871;POS_022660;3;;;
5;20231231;1;CRM_0950875_022667;CRM_0950875;POS_022667;3;;;
5;20231231;1;CRM_0950901_022716;CRM_0950901;POS_022716;3;;;
5;20231231;1;CRM_0950918_022742;CRM_0950918;POS_022742;3;;;
5;20231231;1;CRM_0950941_022782;CRM_0950941;POS_022782;3;;;
5;20231231;1;CRM_0950943_022784;CRM_0950943;POS_022784;3;;;
5;20231231;1;CRM_0950948_022793;CRM_0950948;POS_022793;3;;;
5;20231231;1;CRM_0950950_022798;CRM_0950950;POS_022798;3;;;
5;20231231;1;CRM_0950968_022834;CRM_0950968;POS_022834;3;;;
5;20231231;1;CRM_0950973_022851;CRM_0950973;POS_022851;3;;;
5;20231231;1;CRM_0950981_022861;CRM_0950981;POS_022861;3;;;
5;20231231;1;CRM_0950985_022866;CRM_0950985;POS_022866;3;;;
5;20231231;1;CRM_0951002_022900;CRM_0951002;POS_022900;3;;;
5;20231231;1;CRM_0951018_022931;CRM_0951018;POS_022931;3;;;
5;20231231;1;CRM_0951038_022973;CRM_0951038;POS_022973;3;;;
5;20231231;1;CRM_0951045_022985;CRM_0951045;POS_022985;3;;;
5;20231231;1;CRM_0951051_022998;CRM_0951051;POS_022998;3;;;
5;20231231;1;CRM_0951085_023048;CRM_0951085;POS_023048;3;;;
5;20231231;1;CRM_0951093_023061;CRM_0951093;POS_023061;3;;;
5;20231231;1;CRM_0951096_023068;CRM_0951096;POS_023068;3;;;
5;20231231;1;CRM_0951118_023107;CRM_0951118;POS_023107;3;;;
5;20231231;1;CRM_0951125_023124;CRM_0951125;POS_023124;3;;;
5;20231231;1;CRM_0951129_023130;CRM_0951129;POS_023130;3;;;
5;20231231;1;CRM_0951133_023137;CRM_0951133;POS_023137;3;;;
5;20231231;1;CRM_0951144_023150;CRM_0951144;POS_023150;3;;;
5;20231231;1;CRM_0951151_023168;CRM_0951151;POS_023168;3;;;
5;20231231;1;CRM_0951158_023175;CRM_0951158;POS_023175;3;;;
5;20231231;1;CRM_0951161_023179;CRM_0951161;POS_023179;3;;;
5;20231231;1;CRM_0951179_023204;CRM_0951179;POS_023204;3;;;
5;20231231;1;CRM_0951195_023232;CRM_0951195;POS_023232;3;;;
5;20231231;1;CRM_0951215_023257;CRM_0951215;POS_023257;3;;;
5;20231231;1;CRM_0951217_023259;CRM_0951217;POS_023259;3;;;
5;20231231;1;CRM_0951231_023278;CRM_0951231;POS_023278;3;;;
5;20231231;1;CRM_0951247_023298;CRM_0951247;POS_023298;3;;;
5;20231231;1;CRM_0951250_023301;CRM_0951250;POS_023301;3;;;
5;20231231;1;CRM_0951251_023302;CRM_0951251;POS_023302;3;;;
5;20231231;1;CRM_0951254_023306;CRM_0951254;POS_023306;3;;;
5;20231231;1;CRM_0951257_023309;CRM_0951257;POS_023309;3;;;
5;20231231;1;CRM_0951260_023314;CRM_0951260;POS_023314;3;;;
5;20231231;1;CRM_0951275_023333;CRM_0951275;POS_023333;3;;;
5;20231231;1;CRM_0951303_023365;CRM_0951303;POS_023365;3;;;
5;20231231;1;CRM_0951311_023373;CRM_0951311;POS_023373;3;;;
5;20231231;1;CRM_0951318_023381;CRM_0951318;POS_023381;3;;;
5;20231231;1;CRM_0951339_023403;CRM_0951339;POS_023403;3;;;
5;20231231;1;CRM_0951349_023414;CRM_0951349;POS_023414;3;;;
5;20231231;1;CRM_0951350_023415;CRM_0951350;POS_023415;3;;;
5;20231231;1;CRM_0951377_023444;CRM_0951377;POS_023444;3;;;
5;20231231;1;CRM_0951389_023456;CRM_0951389;POS_023456;3;;;
5;20231231;1;CRM_0951392_023459;CRM_0951392;POS_023459;3;;;
5;20231231;1;CRM_0951393_023460;CRM_0951393;POS_023460;3;;;
5;20231231;1;CRM_0951396_023463;CRM_0951396;POS_023463;3;;;
5;20231231;1;CRM_0951399_023466;CRM_0951399;POS_023466;3;;;
5;20231231;1;CRM_0951404_023472;CRM_0951404;POS_023472;3;;;
5;20231231;1;CRM_0951416_023485;CRM_0951416;POS_023485;3;;;
5;20231231;1;CRM_0951420_023489;CRM_0951420;POS_023489;3;;;
5;20231231;1;CRM_0951425_023494;CRM_0951425;POS_023494;3;;;
5;20231231;1;CRM_0951429_023498;CRM_0951429;POS_023498;3;;;
5;20231231;1;CRM_0951439_023508;CRM_0951439;POS_023508;3;;;
5;20231231;1;CRM_0951443_023512;CRM_0951443;POS_023512;3;;;
5;20231231;1;CRM_0951444_023513;CRM_0951444;POS_023513;3;;;
5;20231231;1;CRM_0951445_023514;CRM_0951445;POS_023514;3;;;
5;20231231;1;CRM_0951455_023524;CRM_0951455;POS_023524;3;;;
5;20231231;1;CRM_0951463_023532;CRM_0951463;POS_023532;3;;;
5;20231231;1;CRM_0951471_023540;CRM_0951471;POS_023540;3;;;
5;20231231;1;CRM_0951491_023560;CRM_0951491;POS_023560;3;;;
5;20231231;1;CRM_0951496_023565;CRM_0951496;POS_023565;3;;;
5;20231231;1;CRM_0951498_023567;CRM_0951498;POS_023567;3;;;
5;20231231;1;CRM_0951502_023571;CRM_0951502;POS_023571;3;;;
5;20231231;1;CRM_0951507_023576;CRM_0951507;POS_023576;3;;;
5;20231231;1;CRM_0951514_023583;CRM_0951514;POS_023583;3;;;
5;20231231;1;CRM_0951516_023585;CRM_0951516;POS_023585;3;;;
5;20231231;1;CRM_0951527_023596;CRM_0951527;POS_023596;3;;;
5;20231231;1;CRM_0951528_023597;CRM_0951528;POS_023597;3;;;
5;20231231;1;CRM_0951538_023607;CRM_0951538;POS_023607;3;;;
5;20231231;1;CRM_0951542_023611;CRM_0951542;POS_023611;3;;;
5;20231231;1;CRM_0951544_023613;CRM_0951544;POS_023613;3;;;
5;20231231;1;CRM_0951548_023617;CRM_0951548;POS_023617;3;;;
5;20231231;1;CRM_0951554_023623;CRM_0951554;POS_023623;3;;;
5;20231231;1;CRM_0951558_023627;CRM_0951558;POS_023627;3;;;
5;20231231;1;CRM_0951564_023633;CRM_0951564;POS_023633;3;;;
5;20231231;1;CRM_0951565_023634;CRM_0951565;POS_023634;3;;;
5;20231231;1;CRM_0951567_023636;CRM_0951567;POS_023636;3;;;
5;20231231;1;CRM_0951571_023640;CRM_0951571;POS_023640;3;;;
5;20231231;1;CRM_0951575_023644;CRM_0951575;POS_023644;3;;;
5;20231231;1;CRM_0951576_023645;CRM_0951576;POS_023645;3;;;
5;20231231;1;CRM_0951580_023649;CRM_0951580;POS_023649;3;;;
5;20231231;1;CRM_0951591_023660;CRM_0951591;POS_023660;3;;;
