STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;TYP_ENTRY_TYPE;DTE_MATURITY;IDE_COUNTERPARTY_REF;IDE_SOURCESYS_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_ISSUER_REF;PRD_PRODUCT;TYP_COLLATERAL;TYP_PORTFOLIO;AUDIT_INFO;CDE_RE_NUTS3;CTY_ASSET_LOCATION;TYP_COLL_VAL_APPR;DES_POSTALCODE;TYP_SUBSTITUTION;IDE_COLL_TO_POSITION_REF;TYP_REHYPOTH;TYP_SOLD_REPLEDGED;PER_LE_EXEMPT;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;IDE_INTERNAL_THREE
5;20240331;1;POS_0900333_HI_01;2;01/07/2028;GRP_0900333;PROGRESS 400LDLN;CON_0900333;CTP_CKV;;601001;120200;0;;BE352;BE;4;5060;;;;;;100,00;00,00;2
5;20240331;1;POS_0900980_HI_01;2;01/07/2025;GRP_0900980;PROGRESS 400LDLN;CON_0900980;CTP_CKV;;601001;120100;0;;BE322;BE;4;6000;;;;;;100,00;00,00;15288
5;20240331;1;POS_0901138_HI_01;2;01/05/2024;GRP_0901138;PROGRESS 400LDLN;CON_0901138;CTP_CKV;;601001;120200;0;;BE325;BE;4;7190;;;;;;100,00;00,00;4
5;20240331;1;POS_0901298_HI_01;2;01/03/2028;GRP_0901298;PROGRESS 400LDLN;CON_0901298;CTP_CKV;;601001;120200;0;;BE222;BE;4;3910;;;;;;100,00;00,00;6
5;20240331;1;POS_0901795_HI_01;2;01/08/2026;GRP_0901795;PROGRESS 400LDLN;CON_0901795;CTP_CKV;;601001;120200;0;;BE231;BE;4;9500;;;;;;100,00;00,00;7
5;20240331;1;POS_0901876_HI_01;2;01/05/2031;GRP_0901876;PROGRESS 400LDLN;CON_0901876;CTP_CKV;;601001;120200;0;;BE223;BE;4;3630;;;;;;100,00;00,00;9
5;20240331;1;POS_0902035_HI_01;2;01/05/2025;GRP_0902035;PROGRESS 400LDLN;CON_0902035;CTP_CKV;;601001;120200;0;;BE231;BE;4;9500;;;;;;100,00;00,00;15316
5;20240331;1;POS_0902190_HI_01;2;01/06/2024;GRP_0902190;PROGRESS 400LDLN;CON_0902190;CTP_CKV;;601001;120200;0;;BE325;BE;4;7100;;;;;;100,00;00,00;12
5;20240331;1;POS_0902282_HI_01;2;01/05/2029;GRP_0902282;PROGRESS 400LDLN;CON_0902282;CTP_CKV;;601001;120200;0;;BE258;BE;4;8691;;;;;;100,00;00,00;14
5;20240331;1;POS_0903279_HI_01;2;01/03/2029;GRP_0903279;PROGRESS 400LDLN;CON_0903279;CTP_CKV;;601001;120200;0;;BE251;BE;4;8000;;;;;;100,00;00,00;15333
5;20240331;1;POS_0903449_HI_01;2;01/09/2023;GRP_0903449;PROGRESS 400LDLN;CON_0903449;CTP_CKV;;601001;120100;0;;BE322;BE;4;6000;;;;;;100,00;00,00;15341
5;20240331;1;POS_0903615_HI_01;2;01/01/2024;GRP_0903615;PROGRESS 400LDLN;CON_0903615;CTP_CKV;;601001;120100;0;;BE241;BE;4;1500;;;;;;100,00;00,00;15351
5;20240331;1;POS_0903813_HI_01;2;01/06/2037;GRP_0903813;PROGRESS 400LDLN;CON_0903813;CTP_CKV;;601001;120200;0;;BE310;BE;4;1430;;;;;;100,00;00,00;20
5;20240331;1;POS_0903821_HI_01;2;01/05/2024;GRP_0903821;PROGRESS 400LDLN;CON_0903821;CTP_CKV;;601001;120100;0;;BE322;BE;4;6200;;;;;;100,00;00,00;15358
5;20240331;1;POS_0903904_HI_01;2;01/09/2024;GRP_0903904;PROGRESS 400LDLN;CON_0903904;CTP_CKV;;601001;120100;0;;BE231;BE;4;9310;;;;;;100,00;00,00;15360
