STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;CDE_C013;DTE_END_PROT;PRD_PRODUCT;AUDIT_INFO
5;20240331;1;POS_0900333_HI_01;;01/07/2028;;
5;20240331;1;POS_0900980_HI_01;;01/07/2025;;
5;20240331;1;POS_0901138_HI_01;;01/05/2024;;
5;20240331;1;POS_0901298_HI_01;;01/03/2028;;
5;20240331;1;POS_0901795_HI_01;;01/08/2026;;
5;20240331;1;POS_0901876_HI_01;;01/05/2031;;
5;20240331;1;POS_0902035_HI_01;;01/05/2025;;
5;20240331;1;POS_0902190_HI_01;;01/06/2024;;
5;20240331;1;POS_0902282_HI_01;;01/05/2029;;
5;20240331;1;POS_0903279_HI_01;;01/03/2029;;
5;20240331;1;POS_0903449_HI_01;;01/09/2023;;
5;20240331;1;POS_0903615_HI_01;;01/01/2024;;
5;20240331;1;POS_0903813_HI_01;;01/06/2037;;
5;20240331;1;POS_0903821_HI_01;;01/05/2024;;
5;20240331;1;POS_0903904_HI_01;;01/09/2024;;
5;20240331;1;POS_0903908_HI_01;;01/12/2025;;
5;20240331;1;POS_0903921_HI_01;;01/06/2018;;
5;20240331;1;POS_0903930_HI_01;;01/08/2024;;
5;20240331;1;POS_0903932_HI_01;;01/08/2024;;
5;20240331;1;POS_0903951_HI_01;;01/04/2027;;
5;20240331;1;POS_0903967_HI_01;;01/09/2024;;
5;20240331;1;POS_0903967_HI_02;;01/09/2024;;
5;20240331;1;POS_0903971_HI_01;;01/09/2024;;
5;20240331;1;POS_0903971_HI_02;;01/09/2024;;
5;20240331;1;POS_0903978_HI_01;;01/10/2024;;
5;20240331;1;POS_0903984_HI_01;;01/10/2024;;
5;20240331;1;POS_0903996_HI_01;;01/10/2024;;
5;20240331;1;POS_0904090_HI_01;;01/01/2025;;
5;20240331;1;POS_0904096_HI_01;;01/01/2025;;
5;20240331;1;POS_0904158_HI_01;;01/03/2025;;
5;20240331;1;POS_0904178_HI_01;;01/04/2025;;
5;20240331;1;POS_0904243_HI_01;;01/06/2025;;
5;20240331;1;POS_0904243_HI_02;;01/06/2025;;
5;20240331;1;POS_0904274_HI_01;;01/06/2025;;
5;20240331;1;POS_0904347_HI_01;;01/08/2025;;
5;20240331;1;POS_0904347_HI_02;;01/08/2025;;
5;20240331;1;POS_0904347_HI_03;;01/08/2025;;
5;20240331;1;POS_0904348_HI_01;;01/07/2028;;
5;20240331;1;POS_0904359_HI_01;;01/09/2025;;
5;20240331;1;POS_0904359_HI_02;;01/09/2025;;
5;20240331;1;POS_0904370_HI_01;;01/02/2029;;
5;20240331;1;POS_0904396_HI_01;;01/10/2025;;
5;20240331;1;POS_0904507_HI_01;;04/12/2025;;
5;20240331;1;POS_0904541_HI_01;;01/10/2027;;
5;20240331;1;POS_0904554_HI_01;;01/01/2026;;
5;20240331;1;POS_0904554_HI_02;;01/01/2026;;
5;20240331;1;POS_0904554_HI_03;;01/01/2026;;
5;20240331;1;POS_0904559_HI_01;;01/01/2026;;
5;20240331;1;POS_0904614_HI_01;;01/03/2026;;
5;20240331;1;POS_0904689_HI_01;;01/06/2026;;
5;20240331;1;POS_0904723_HI_01;;01/06/2026;;
5;20240331;1;POS_0904773_HI_01;;01/06/2029;;
5;20240331;1;POS_0904773_HI_02;;01/06/2029;;
5;20240331;1;POS_0904775_HI_01;;01/05/2029;;
5;20240331;1;POS_0904777_HI_01;;13/07/2009;;
5;20240331;1;POS_0904777_HI_02;;13/07/2009;;
5;20240331;1;POS_0904794_HI_01;;01/08/2026;;
5;20240331;1;POS_0904823_HI_01;;07/08/2026;;
5;20240331;1;POS_0904831_HI_01;;21/04/2032;;
5;20240331;1;POS_0904861_HI_01;;27/09/2026;;
5;20240331;1;POS_0904886_HI_01;;01/10/2026;;
5;20240331;1;POS_0904915_HI_01;;01/11/2026;;
5;20240331;1;POS_0904915_HI_02;;01/11/2026;;
5;20240331;1;POS_0905019_HI_01;;01/01/2010;;
5;20240331;1;POS_0905103_HI_01;;01/10/2029;;
5;20240331;1;POS_0905111_HI_01;;01/04/2030;;
5;20240331;1;POS_0905111_HI_02;;01/04/2030;;
5;20240331;1;POS_0905131_HI_01;;01/07/2027;;
5;20240331;1;POS_0905136_HI_01;;01/04/2027;;
5;20240331;1;POS_0905154_HI_01;;30/04/2027;;
5;20240331;1;POS_0905205_HI_01;;22/06/2027;;
5;20240331;1;POS_0905231_HI_01;;01/07/2022;;
5;20240331;1;POS_0905231_HI_02;;01/07/2022;;
