STATUS;VALID_ON;LOT_TYPE_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;CDE_C013;CDE_CBF_RC;TYP_ECOSECTOR_CODE;TYP_RESIDUAL_DURATION;CDE_REP_PRUD_NONBANK;PRD_PRODUCT;TYP_OWN_FUND_GUAR;CDE_C018;CDE_C022;CDE_C081;AUDIT_INFO;DTE_END_INSTR;TYP_PURPOSE_CCR
5;20240331;1;GEL_1111100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1112100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1112101;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1112200;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1112300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1112900;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1112910;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1114100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1114200;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1114300;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222110;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222310;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222311;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222320;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222330;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222610;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222620;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222630;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1222640;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1431000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1431100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1431101;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1431102;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1431103;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1432000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1433000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1434000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1435000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1436000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1511100;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1511120;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1511170;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1610000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1611000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1624000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1714400;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721110;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721119;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721140;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721148;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721149;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721150;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1721159;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1722000;0;0;;;;;;;;;;;;;
5;20240331;1;GEL_1722009;0;0;;;;;;;;;;;;;
