STATUS;VALID_ON;LOT_TYPE_FK;IDE_LIMIT_REF;DTE_DEAL;DTE_MATURITY;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_COUNTERPARTY_REF;PRD_PRODUCT;TYP_AL_INDICATOR;TYP_CONTINUING_INV;TYP_ENTRY_TYPE;TYP_CONF_CREDIT;TYP_REVOLVING_FAC
5;20240331;1;LIM_0900333;16/01/2018;01/07/2028;CON_0900333;CTP_CKV;GRP_0900333;700205;1;;0;1;
5;20240331;1;LIM_0900980;27/07/2005;01/07/2025;CON_0900980;CTP_CKV;GRP_0900980;700205;1;;0;1;
5;20240331;1;LIM_0901138;18/05/2009;01/05/2024;CON_0901138;CTP_CKV;GRP_0901138;700204;1;;0;1;
5;20240331;1;LIM_0901298;13/10/2017;01/03/2028;CON_0901298;CTP_CKV;GRP_0901298;700205;1;;0;1;
5;20240331;1;LIM_0901795;12/08/2021;01/08/2026;CON_0901795;CTP_CKV;GRP_0901795;700205;1;;0;1;
5;20240331;1;LIM_0901876;12/05/2011;01/05/2031;CON_0901876;CTP_CKV;GRP_0901876;700205;1;;0;1;
5;20240331;1;LIM_0902035;23/05/2005;01/05/2025;CON_0902035;CTP_CKV;GRP_0902035;700205;1;;0;1;
5;20240331;1;LIM_0902190;01/06/2017;01/06/2024;CON_0902190;CTP_CKV;GRP_0902190;700205;1;;0;1;
5;20240331;1;LIM_0902282;08/05/2009;01/05/2029;CON_0902282;CTP_CKV;GRP_0902282;700205;1;;0;1;
5;20240331;1;LIM_0902331;21/02/1983;22/03/1983;CON_0902331;CTP_CKV;GRP_0902331;700208;1;;0;1;
5;20240331;1;LIM_0902384;12/03/1992;01/04/2007;CON_0902384;CTP_CKV;GRP_0902384;700206;1;;0;1;
5;20240331;1;LIM_0902397;11/09/1992;01/05/2015;CON_0902397;CTP_CKV;GRP_0902397;700206;1;;0;1;
5;20240331;1;LIM_0903279;18/03/2019;01/03/2029;CON_0903279;CTP_CKV;GRP_0903279;700206;1;;0;1;
5;20240331;1;LIM_0903449;30/09/2003;01/09/2023;CON_0903449;CTP_CKV;GRP_0903449;700205;1;;0;1;
