STATUS;VALID_ON;LOT_TYPE_FK;IDE_LIMIT_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;DTE_VALUE;TYP_AMOUNT;IDE_SCENARIO_FK
5;20240331;1;LIM_0900333;;;1;EUR;59000.00;59000.00;16/01/2018;16;0
5;20240331;1;LIM_0900980;;;1;EUR;30243.01;30243.01;27/07/2005;16;0
5;20240331;1;LIM_0901138;;;1;EUR;87000.00;87000.00;18/05/2009;16;0
5;20240331;1;LIM_0901298;;;1;EUR;48339.24;48339.24;13/10/2017;16;0
5;20240331;1;LIM_0901795;;;1;EUR;50000.00;50000.00;12/08/2021;16;0
5;20240331;1;LIM_0901876;;;1;EUR;45000.00;45000.00;12/05/2011;16;0
5;20240331;1;LIM_0902035;;;1;EUR;63000.00;63000.00;23/05/2005;16;0
5;20240331;1;LIM_0902190;;;1;EUR;50000.00;50000.00;01/06/2017;16;0
5;20240331;1;LIM_0902282;;;1;EUR;64400.00;64400.00;08/05/2009;16;0
5;20240331;1;LIM_0902331;;;1;EUR;0;0;21/02/1983;16;0
5;20240331;1;LIM_0902384;;;1;EUR;0;0;12/03/1992;16;0
5;20240331;1;LIM_0902397;;;1;EUR;0;0;11/09/1992;16;0
5;20240331;1;LIM_0903279;;;1;EUR;53500.00;53500.00;18/03/2019;16;0
5;20240331;1;LIM_0903449;;;1;EUR;35775.00;35775.00;30/09/2003;16;0
5;20240331;1;LIM_0903615;;;1;EUR;33000.00;33000.00;22/01/2004;16;0
5;20240331;1;LIM_0903813;;;1;EUR;68000.00;68000.00;01/06/2017;16;0
5;20240331;1;LIM_0903821;;;1;EUR;35000.00;35000.00;19/05/2004;16;0
5;20240331;1;LIM_0903904;;;1;EUR;75000.00;75000.00;20/08/2004;16;0
5;20240331;1;LIM_0903908;;;1;EUR;60000.00;60000.00;06/09/2018;16;0
5;20240331;1;LIM_0903921;;;1;EUR;229691.05;229691.05;24/06/2016;16;0
5;20240331;1;LIM_0903930;;;1;EUR;82000.00;82000.00;27/08/2004;16;0
5;20240331;1;LIM_0903932;;;1;EUR;77000.00;77000.00;26/08/2004;16;0
5;20240331;1;LIM_0903951;;;1;EUR;70800.00;70800.00;04/04/2012;16;0
5;20240331;1;LIM_0903967;;;1;EUR;62500.00;62500.00;23/09/2004;16;0
5;20240331;1;LIM_0903971;;;1;EUR;130000.00;130000.00;06/09/2004;16;0
5;20240331;1;LIM_0903978;;;1;EUR;15000.00;15000.00;25/10/2004;16;0
5;20240331;1;LIM_0903984;;;1;EUR;51500.00;51500.00;01/10/2004;16;0
5;20240331;1;LIM_0903996;;;1;EUR;55000.00;55000.00;22/10/2004;16;0
5;20240331;1;LIM_0904090;;;1;EUR;30000.00;30000.00;21/01/2005;16;0
5;20240331;1;LIM_0904096;;;1;EUR;57000.00;57000.00;28/01/2005;16;0
5;20240331;1;LIM_0904158;;;1;EUR;155000.00;155000.00;02/03/2005;16;0
5;20240331;1;LIM_0904178;;;1;EUR;60000.00;60000.00;18/04/2005;16;0
5;20240331;1;LIM_0904243;;;1;EUR;90000.00;90000.00;30/05/2005;16;0
5;20240331;1;LIM_0904274;;;1;EUR;84000.00;84000.00;29/06/2005;16;0
5;20240331;1;LIM_0904347;;;1;EUR;70000.00;70000.00;19/08/2005;16;0
5;20240331;1;LIM_0904348;;;1;EUR;66000.00;66000.00;05/07/2018;16;0
5;20240331;1;LIM_0904359;;;1;EUR;114000.00;114000.00;20/09/2005;16;0
5;20240331;1;LIM_0904370;;;1;EUR;42000.00;42000.00;24/02/2014;16;0
5;20240331;1;LIM_0904396;;;1;EUR;25000.00;25000.00;19/10/2005;16;0
5;20240331;1;LIM_0904408;;;1;EUR;250000.00;250000.00;17/10/2005;16;0
5;20240331;1;LIM_0904507;;;1;EUR;52000.00;52000.00;05/12/2005;16;0
5;20240331;1;LIM_0904541;;;1;EUR;70000.00;70000.00;07/09/2017;16;0
5;20240331;1;LIM_0904554;;;1;EUR;75000.00;75000.00;06/01/2006;16;0
5;20240331;1;LIM_0904559;;;1;EUR;70000.00;70000.00;26/01/2006;16;0
5;20240331;1;LIM_0904614;;;1;EUR;25000.00;25000.00;27/03/2006;16;0
5;20240331;1;LIM_0904689;;;1;EUR;27000.00;27000.00;23/05/2006;16;0
5;20240331;1;LIM_0904723;;;1;EUR;30000.00;30000.00;16/06/2006;16;0
5;20240331;1;LIM_0904773;;;1;EUR;140000.00;140000.00;30/06/2009;16;0
5;20240331;1;LIM_0904775;;;1;EUR;100000.00;100000.00;14/05/2009;16;0
5;20240331;1;LIM_0904777;;;1;EUR;90000.00;90000.00;14/07/2006;16;0
5;20240331;1;LIM_0904794;;;1;EUR;85000.00;85000.00;11/08/2006;16;0
5;20240331;1;LIM_0904798;;;1;EUR;314300.00;314300.00;02/08/2007;16;0
5;20240331;1;LIM_0904823;;;1;EUR;45000.00;45000.00;08/08/2006;16;0
5;20240331;1;LIM_0904831;;;1;EUR;70000.00;70000.00;21/04/2017;16;0
5;20240331;1;LIM_0904861;;;1;EUR;37100.00;37100.00;27/09/2006;16;0
5;20240331;1;LIM_0904886;;;1;EUR;35000.00;35000.00;09/10/2006;16;0
5;20240331;1;LIM_0904915;;;1;EUR;100000.00;100000.00;18/10/2006;16;0
5;20240331;1;LIM_0905019;;;1;EUR;105000.00;105000.00;15/01/2007;16;0
5;20240331;1;LIM_0905103;;;1;EUR;65000.00;65000.00;18/10/2017;16;0
5;20240331;1;LIM_0905111;;;1;EUR;150000.00;150000.00;09/04/2010;16;0
5;20240331;1;LIM_0905131;;;1;EUR;37000.00;37000.00;07/07/2017;16;0
5;20240331;1;LIM_0905136;;;1;EUR;64000.00;64000.00;13/04/2007;16;0
5;20240331;1;LIM_0905154;;;1;EUR;65000.00;65000.00;30/04/2007;16;0
5;20240331;1;LIM_0905205;;;1;EUR;37100.00;37100.00;22/06/2007;16;0
5;20240331;1;LIM_0905231;;;1;EUR;62000.00;62000.00;04/07/2007;16;0
5;20240331;1;LIM_0905236;;;1;EUR;66500.00;66500.00;12/07/2007;16;0
5;20240331;1;LIM_0905244;;;1;EUR;149532.00;149532.00;25/02/2016;16;0
5;20240331;1;LIM_0905269;;;1;EUR;100500.00;100500.00;10/08/2007;16;0
5;20240331;1;LIM_0905289;;;1;EUR;75400.00;75400.00;08/08/2007;16;0
5;20240331;1;LIM_0905301;;;1;EUR;82300.00;82300.00;05/09/2007;16;0
5;20240331;1;LIM_0905307;;;1;EUR;70000.00;70000.00;14/09/2007;16;0
5;20240331;1;LIM_0905309;;;1;EUR;140000.00;140000.00;05/09/2007;16;0
5;20240331;1;LIM_0905372;;;1;EUR;77500.00;77500.00;17/03/2008;16;0
5;20240331;1;LIM_0905412;;;1;EUR;60000.00;60000.00;18/08/2004;16;0
5;20240331;1;LIM_0905414;;;1;EUR;57000.00;57000.00;25/08/2004;16;0
5;20240331;1;LIM_0905429;;;1;EUR;55000.00;55000.00;15/11/2004;16;0
5;20240331;1;LIM_0905431;;;1;EUR;72000.00;72000.00;15/11/2004;16;0
5;20240331;1;LIM_0905437;;;1;EUR;75000.00;75000.00;10/12/2004;16;0
5;20240331;1;LIM_0905460;;;1;EUR;60000.00;60000.00;19/04/2005;16;0
5;20240331;1;LIM_0905492;;;1;EUR;65000.00;65000.00;07/11/2007;16;0
5;20240331;1;LIM_0905509;;;1;EUR;210000.00;210000.00;26/11/2007;16;0
5;20240331;1;LIM_0905516;;;1;EUR;43000.00;43000.00;23/11/2007;16;0
5;20240331;1;LIM_0905522;;;1;EUR;45000.00;45000.00;30/11/2007;16;0
5;20240331;1;LIM_0905552;;;1;EUR;60000.00;60000.00;29/01/2018;16;0
5;20240331;1;LIM_0905581;;;1;EUR;71000.00;71000.00;25/01/2008;16;0
5;20240331;1;LIM_0905584;;;1;EUR;72000.00;72000.00;30/01/2008;16;0
5;20240331;1;LIM_0905591;;;1;EUR;295000.00;295000.00;11/02/2008;16;0
5;20240331;1;LIM_0905613;;;1;EUR;65000.00;65000.00;29/02/2008;16;0
5;20240331;1;LIM_0905614;;;1;EUR;85000.00;85000.00;12/03/2020;16;0
5;20240331;1;LIM_0905628;;;1;EUR;135000.00;135000.00;11/03/2008;16;0
5;20240331;1;LIM_0905663;;;1;EUR;81000.00;81000.00;26/01/2018;16;0
5;20240331;1;LIM_0905676;;;1;EUR;150000.00;150000.00;07/04/2008;16;0
5;20240331;1;LIM_0905685;;;1;EUR;95000.00;95000.00;04/04/2008;16;0
5;20240331;1;LIM_0905701;;;1;EUR;90000.00;90000.00;18/04/2008;16;0
5;20240331;1;LIM_0905729;;;1;EUR;66000.00;66000.00;15/05/2008;16;0
5;20240331;1;LIM_0905736;;;1;EUR;42000.00;42000.00;19/05/2008;16;0
5;20240331;1;LIM_0905738;;;1;EUR;100000.00;100000.00;15/05/2008;16;0
5;20240331;1;LIM_0905781;;;1;EUR;20100.00;20100.00;20/06/2008;16;0
5;20240331;1;LIM_0905794;;;1;EUR;360000.00;360000.00;31/05/2013;16;0
5;20240331;1;LIM_0905795;;;1;EUR;40000.00;40000.00;27/06/2008;16;0
5;20240331;1;LIM_0905796;;;1;EUR;20100.00;20100.00;08/08/2018;16;0
5;20240331;1;LIM_0905806;;;1;EUR;99000.00;99000.00;04/07/2008;16;0
5;20240331;1;LIM_0905834;;;1;EUR;100000.00;100000.00;13/03/2017;16;0
5;20240331;1;LIM_0905863;;;1;EUR;60000.00;60000.00;28/08/2008;16;0
5;20240331;1;LIM_0905868;;;1;EUR;53000.00;53000.00;02/12/2022;16;0
5;20240331;1;LIM_0905889;;;1;EUR;65000.00;65000.00;11/04/2016;16;0
5;20240331;1;LIM_0905924;;;1;EUR;38500.00;38500.00;13/01/2014;16;0
5;20240331;1;LIM_0905943;;;1;EUR;110000.00;110000.00;07/11/2008;16;0
5;20240331;1;LIM_0905952;;;1;EUR;52000.00;52000.00;18/11/2008;16;0
5;20240331;1;LIM_0905984;;;1;EUR;70000.00;70000.00;19/12/2008;16;0
5;20240331;1;LIM_0905994;;;1;EUR;115000.00;115000.00;11/12/2008;16;0
5;20240331;1;LIM_0906024;;;1;EUR;67000.00;67000.00;18/02/2019;16;0
5;20240331;1;LIM_0906030;;;1;EUR;12600.00;12600.00;22/01/2009;16;0
5;20240331;1;LIM_0906048;;;1;EUR;80000.00;80000.00;04/02/2009;16;0
5;20240331;1;LIM_0906055;;;1;EUR;105000.00;105000.00;05/02/2009;16;0
5;20240331;1;LIM_0906056;;;1;EUR;115000.00;115000.00;05/02/2009;16;0
5;20240331;1;LIM_0906060;;;1;EUR;151900.00;151900.00;11/02/2009;16;0
5;20240331;1;LIM_0906094;;;1;EUR;182500.00;182500.00;20/03/2009;16;0
5;20240331;1;LIM_0906116;;;1;EUR;76000.00;76000.00;23/02/2017;16;0
5;20240331;1;LIM_0906124;;;1;EUR;219000.00;219000.00;09/03/2009;16;0
5;20240331;1;LIM_0906136;;;1;EUR;66000.00;66000.00;01/04/2009;16;0
5;20240331;1;LIM_0906171;;;1;EUR;41000.00;41000.00;12/05/2009;16;0
5;20240331;1;LIM_0906176;;;1;EUR;55800.00;55800.00;15/10/2010;16;0
5;20240331;1;LIM_0906186;;;1;EUR;50000.00;50000.00;19/05/2009;16;0
5;20240331;1;LIM_0906213;;;1;EUR;110000.00;110000.00;14/05/2009;16;0
5;20240331;1;LIM_0906242;;;1;EUR;90000.00;90000.00;26/06/2009;16;0
5;20240331;1;LIM_0906264;;;1;EUR;20800.00;20800.00;08/07/2009;16;0
5;20240331;1;LIM_0906290;;;1;EUR;150000.00;150000.00;14/11/2017;16;0
5;20240331;1;LIM_0906291;;;1;EUR;350000.00;350000.00;02/08/2017;16;0
5;20240331;1;LIM_0906295;;;1;EUR;75000.00;75000.00;31/07/2009;16;0
5;20240331;1;LIM_0906298;;;1;EUR;65000.00;65000.00;24/07/2009;16;0
5;20240331;1;LIM_0906299;;;1;EUR;51700.00;51700.00;13/07/2009;16;0
5;20240331;1;LIM_0906312;;;1;EUR;72000.00;72000.00;10/08/2009;16;0
5;20240331;1;LIM_0906323;;;1;EUR;65000.00;65000.00;04/08/2009;16;0
5;20240331;1;LIM_0906370;;;1;EUR;66500.00;66500.00;27/04/2017;16;0
5;20240331;1;LIM_0906393;;;1;EUR;50000.00;50000.00;09/11/2009;16;0
5;20240331;1;LIM_0906402;;;1;EUR;91500.00;91500.00;10/04/2008;16;0
5;20240331;1;LIM_0906414;;;1;EUR;85000.00;85000.00;31/01/2008;16;0
5;20240331;1;LIM_0906418;;;1;EUR;130000.00;130000.00;19/02/2008;16;0
5;20240331;1;LIM_0906425;;;1;EUR;137000.00;137000.00;14/02/2008;16;0
5;20240331;1;LIM_0906428;;;1;EUR;35000.00;35000.00;11/01/2008;16;0
5;20240331;1;LIM_0906447;;;1;EUR;75000.00;75000.00;25/01/2008;16;0
5;20240331;1;LIM_0906455;;;1;EUR;58000.00;58000.00;25/01/2008;16;0
5;20240331;1;LIM_0906470;;;1;EUR;69500.00;69500.00;14/05/2008;16;0
5;20240331;1;LIM_0906473;;;1;EUR;56000.00;56000.00;13/03/2008;16;0
5;20240331;1;LIM_0906475;;;1;EUR;111300.00;111300.00;28/03/2008;16;0
5;20240331;1;LIM_0906476;;;1;EUR;90000.00;90000.00;06/03/2008;16;0
5;20240331;1;LIM_0906480;;;1;EUR;88000.00;88000.00;04/06/2008;16;0
5;20240331;1;LIM_0906481;;;1;EUR;83000.00;83000.00;10/04/2008;16;0
5;20240331;1;LIM_0906489;;;1;EUR;220000.00;220000.00;28/03/2008;16;0
5;20240331;1;LIM_0906502;;;1;EUR;56000.00;56000.00;26/05/2008;16;0
5;20240331;1;LIM_0906510;;;1;EUR;41500.00;41500.00;14/05/2008;16;0
