STATUS;VALID_ON;LOT_TYPE_FK;IDE_LIMIT_REF;CDE_C013;RCA_INCREASING_AMOUNT;TYP_CP_MOB_CD;TYP_COND_CREDIT;TYP_OWN_FUND_GUAR;PRD_PRODUCT;CDE_C022;AUDIT_INFO
5;20240331;1;LIM_021645;;;;2;;;;
5;20240331;1;LIM_021649;;;;2;;;;
5;20240331;1;LIM_021734;;;;2;;;;
5;20240331;1;LIM_021790;;;;2;;;;
5;20240331;1;LIM_021861;;;;2;;;;
5;20240331;1;LIM_021926;;;;2;;;;
5;20240331;1;LIM_021932;;;;2;;;;
5;20240331;1;LIM_021944;;;;2;;;;
5;20240331;1;LIM_021969;;;;2;;;;
5;20240331;1;LIM_022003;;;;2;;;;
5;20240331;1;LIM_022018;;;;2;;;;
5;20240331;1;LIM_022031;;;;2;;;;
5;20240331;1;LIM_022063;;;;2;;;;
5;20240331;1;LIM_022087;;;;2;;;;
5;20240331;1;LIM_022089;;;;2;;;;
5;20240331;1;LIM_022094;;;;2;;;;
5;20240331;1;LIM_022096;;;;2;;;;
5;20240331;1;LIM_022099;;;;2;;;;
5;20240331;1;LIM_022165;;;;2;;;;
5;20240331;1;LIM_022169;;;;2;;;;
5;20240331;1;LIM_022183;;;;2;;;;
5;20240331;1;LIM_022192;;;;2;;;;
5;20240331;1;LIM_022216;;;;2;;;;
5;20240331;1;LIM_022245;;;;2;;;;
5;20240331;1;LIM_022249;;;;2;;;;
5;20240331;1;LIM_022302;;;;2;;;;
5;20240331;1;LIM_022313;;;;2;;;;
5;20240331;1;LIM_022318;;;;2;;;;
5;20240331;1;LIM_022338;;;;2;;;;
5;20240331;1;LIM_022358;;;;2;;;;
5;20240331;1;LIM_022374;;;;2;;;;
5;20240331;1;LIM_022386;;;;2;;;;
5;20240331;1;LIM_022388;;;;2;;;;
5;20240331;1;LIM_022399;;;;2;;;;
5;20240331;1;LIM_022415;;;;2;;;;
5;20240331;1;LIM_022432;;;;2;;;;
5;20240331;1;LIM_022437;;;;2;;;;
5;20240331;1;LIM_022460;;;;2;;;;
5;20240331;1;LIM_022464;;;;2;;;;
5;20240331;1;LIM_022478;;;;2;;;;
5;20240331;1;LIM_022479;;;;2;;;;
5;20240331;1;LIM_022481;;;;2;;;;
5;20240331;1;LIM_022482;;;;2;;;;
5;20240331;1;LIM_022494;;;;2;;;;
5;20240331;1;LIM_022496;;;;2;;;;
5;20240331;1;LIM_022497;;;;2;;;;
5;20240331;1;LIM_022517;;;;2;;;;
5;20240331;1;LIM_022529;;;;2;;;;
5;20240331;1;LIM_022533;;;;2;;;;
5;20240331;1;LIM_022538;;;;2;;;;
5;20240331;1;LIM_022542;;;;2;;;;
5;20240331;1;LIM_022561;;;;2;;;;
5;20240331;1;LIM_022575;;;;2;;;;
5;20240331;1;LIM_022577;;;;2;;;;
5;20240331;1;LIM_022602;;;;2;;;;
5;20240331;1;LIM_022614;;;;2;;;;
5;20240331;1;LIM_022628;;;;2;;;;
5;20240331;1;LIM_022645;;;;2;;;;
5;20240331;1;LIM_022653;;;;2;;;;
5;20240331;1;LIM_022657;;;;2;;;;
5;20240331;1;LIM_022660;;;;2;;;;
5;20240331;1;LIM_022667;;;;2;;;;
5;20240331;1;LIM_022716;;;;2;;;;
5;20240331;1;LIM_022742;;;;2;;;;
5;20240331;1;LIM_022782;;;;2;;;;
5;20240331;1;LIM_022784;;;;2;;;;
5;20240331;1;LIM_022793;;;;2;;;;
5;20240331;1;LIM_022798;;;;2;;;;
5;20240331;1;LIM_022834;;;;2;;;;
5;20240331;1;LIM_022866;;;;2;;;;
5;20240331;1;LIM_022900;;;;2;;;;
5;20240331;1;LIM_022931;;;;2;;;;
5;20240331;1;LIM_022973;;;;2;;;;
5;20240331;1;LIM_022985;;;;2;;;;
5;20240331;1;LIM_022998;;;;2;;;;
5;20240331;1;LIM_023048;;;;2;;;;
5;20240331;1;LIM_023061;;;;2;;;;
5;20240331;1;LIM_023068;;;;2;;;;
5;20240331;1;LIM_023107;;;;2;;;;
5;20240331;1;LIM_023124;;;;2;;;;
5;20240331;1;LIM_023130;;;;2;;;;
5;20240331;1;LIM_023137;;;;2;;;;
5;20240331;1;LIM_023150;;;;2;;;;
5;20240331;1;LIM_023168;;;;2;;;;
5;20240331;1;LIM_023175;;;;2;;;;
5;20240331;1;LIM_023179;;;;2;;;;
5;20240331;1;LIM_023204;;;;2;;;;
5;20240331;1;LIM_023232;;;;2;;;;
5;20240331;1;LIM_023257;;;;2;;;;
5;20240331;1;LIM_023259;;;;2;;;;
5;20240331;1;LIM_023278;;;;2;;;;
5;20240331;1;LIM_023298;;;;2;;;;
5;20240331;1;LIM_023301;;;;2;;;;
5;20240331;1;LIM_023302;;;;2;;;;
5;20240331;1;LIM_023306;;;;2;;;;
5;20240331;1;LIM_023309;;;;2;;;;
5;20240331;1;LIM_023314;;;;2;;;;
5;20240331;1;LIM_023333;;;;2;;;;
5;20240331;1;LIM_023365;;;;2;;;;
5;20240331;1;LIM_023373;;;;2;;;;
5;20240331;1;LIM_023381;;;;2;;;;
5;20240331;1;LIM_023403;;;;2;;;;
5;20240331;1;LIM_023414;;;;2;;;;
5;20240331;1;LIM_023415;;;;2;;;;
5;20240331;1;LIM_023444;;;;2;;;;
5;20240331;1;LIM_023456;;;;2;;;;
5;20240331;1;LIM_023459;;;;2;;;;
5;20240331;1;LIM_023460;;;;2;;;;
5;20240331;1;LIM_023463;;;;2;;;;
5;20240331;1;LIM_023466;;;;2;;;;
5;20240331;1;LIM_023472;;;;2;;;;
5;20240331;1;LIM_023485;;;;2;;;;
5;20240331;1;LIM_023489;;;;2;;;;
5;20240331;1;LIM_023494;;;;2;;;;
5;20240331;1;LIM_023498;;;;2;;;;
5;20240331;1;LIM_023508;;;;2;;;;
5;20240331;1;LIM_023512;;;;2;;;;
5;20240331;1;LIM_023513;;;;2;;;;
5;20240331;1;LIM_023514;;;;2;;;;
5;20240331;1;LIM_023524;;;;2;;;;
5;20240331;1;LIM_023532;;;;2;;;;
5;20240331;1;LIM_023540;;;;2;;;;
5;20240331;1;LIM_023560;;;;2;;;;
5;20240331;1;LIM_023565;;;;2;;;;
5;20240331;1;LIM_023567;;;;2;;;;
5;20240331;1;LIM_023571;;;;2;;;;
5;20240331;1;LIM_023576;;;;2;;;;
5;20240331;1;LIM_023583;;;;2;;;;
5;20240331;1;LIM_023585;;;;2;;;;
5;20240331;1;LIM_023596;;;;2;;;;
5;20240331;1;LIM_023597;;;;2;;;;
5;20240331;1;LIM_023607;;;;2;;;;
5;20240331;1;LIM_023611;;;;2;;;;
5;20240331;1;LIM_023613;;;;2;;;;
5;20240331;1;LIM_023617;;;;2;;;;
5;20240331;1;LIM_023623;;;;2;;;;
5;20240331;1;LIM_023627;;;;2;;;;
5;20240331;1;LIM_023633;;;;2;;;;
5;20240331;1;LIM_023634;;;;2;;;;
5;20240331;1;LIM_023636;;;;2;;;;
5;20240331;1;LIM_023640;;;;2;;;;
5;20240331;1;LIM_023644;;;;2;;;;
5;20240331;1;LIM_023645;;;;2;;;;
5;20240331;1;LIM_023649;;;;2;;;;
5;20240331;1;LIM_023668;;;;2;;;;
5;20240331;1;LIM_023673;;;;2;;;;
5;20240331;1;LIM_023682;;;;2;;;;
5;20240331;1;LIM_023695;;;;2;;;;
5;20240331;1;LIM_023701;;;;2;;;;
5;20240331;1;LIM_023704;;;;2;;;;
5;20240331;1;LIM_023709;;;;2;;;;
5;20240331;1;LIM_023713;;;;2;;;;
5;20240331;1;LIM_023715;;;;2;;;;
5;20240331;1;LIM_023722;;;;2;;;;
5;20240331;1;LIM_023728;;;;2;;;;
5;20240331;1;LIM_023730;;;;2;;;;
5;20240331;1;LIM_023741;;;;2;;;;
5;20240331;1;LIM_023744;;;;2;;;;
5;20240331;1;LIM_023761;;;;2;;;;
5;20240331;1;LIM_023762;;;;2;;;;
5;20240331;1;LIM_023766;;;;2;;;;
5;20240331;1;LIM_023772;;;;2;;;;
5;20240331;1;LIM_023773;;;;2;;;;
5;20240331;1;LIM_023778;;;;2;;;;
5;20240331;1;LIM_023788;;;;2;;;;
5;20240331;1;LIM_023791;;;;2;;;;
5;20240331;1;LIM_023796;;;;2;;;;
5;20240331;1;LIM_023797;;;;2;;;;
5;20240331;1;LIM_023798;;;;2;;;;
5;20240331;1;LIM_023806;;;;2;;;;
5;20240331;1;LIM_023808;;;;2;;;;
5;20240331;1;LIM_023813;;;;2;;;;
5;20240331;1;LIM_023815;;;;2;;;;
