STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;IDE_INTERNAL_PARTY_REF;IDE_CONTRACT_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_AMOUNT;DTE_VALUE;IDE_SCENARIO_FK;AUDIT_INFO
5;20240331;1;PRL_4111100;CTP_CKV;;2;EUR;3330977.52;3330977.52;1;31/03/2024;1;
5;20240331;1;PRL_4112410;CTP_CKV;;2;EUR;234393.40;234393.40;1;31/03/2024;1;
5;20240331;1;PRL_4112420;CTP_CKV;;2;EUR;3633.17;3633.17;1;31/03/2024;1;
5;20240331;1;PRL_4112421;CTP_CKV;;2;EUR;32638.97;32638.97;1;31/03/2024;1;
5;20240331;1;PRL_4112430;CTP_CKV;;2;EUR;3920.04;3920.04;1;31/03/2024;1;
5;20240331;1;PRL_4112440;CTP_CKV;;2;EUR;5162.21;5162.21;1;31/03/2024;1;
5;20240331;1;PRL_4112480;CTP_CKV;;2;EUR;9375.43;9375.43;1;31/03/2024;1;
5;20240331;1;PRL_4112491;CTP_CKV;;2;EUR;329.06;329.06;1;31/03/2024;1;
5;20240331;1;PRL_4112492;CTP_CKV;;1;EUR;2718.73;2718.73;1;31/03/2024;1;
5;20240331;1;PRL_4112493;CTP_CKV;;1;EUR;2982.67;2982.67;1;31/03/2024;1;
5;20240331;1;PRL_4112494;CTP_CKV;;1;EUR;21961.66;21961.66;1;31/03/2024;1;
5;20240331;1;PRL_4112510;CTP_CKV;;2;EUR;11012046.35;11012046.35;1;31/03/2024;1;
5;20240331;1;PRL_4112511;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112512;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112520;CTP_CKV;;2;EUR;206764.89;206764.89;1;31/03/2024;1;
5;20240331;1;PRL_4112521;CTP_CKV;;2;EUR;5388.71;5388.71;1;31/03/2024;1;
5;20240331;1;PRL_4112522;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112530;CTP_CKV;;2;EUR;453592.14;453592.14;1;31/03/2024;1;
5;20240331;1;PRL_4112531;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112540;CTP_CKV;;1;EUR;151178.18;151178.18;1;31/03/2024;1;
5;20240331;1;PRL_4112550;CTP_CKV;;1;EUR;67407.57;67407.57;1;31/03/2024;1;
5;20240331;1;PRL_4112580;CTP_CKV;;2;EUR;195644.97;195644.97;1;31/03/2024;1;
5;20240331;1;PRL_4112581;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112591;CTP_CKV;;2;EUR;32040.78;32040.78;1;31/03/2024;1;
5;20240331;1;PRL_4112592;CTP_CKV;;1;EUR;27451.72;27451.72;1;31/03/2024;1;
5;20240331;1;PRL_4112593;CTP_CKV;;2;EUR;84772.52;84772.52;1;31/03/2024;1;
5;20240331;1;PRL_4112594;CTP_CKV;;1;EUR;1739.16;1739.16;1;31/03/2024;1;
5;20240331;1;PRL_4112595;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112596;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112610;CTP_CKV;;2;EUR;3040857.12;3040857.12;1;31/03/2024;1;
5;20240331;1;PRL_4112611;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112620;CTP_CKV;;2;EUR;146700.03;146700.03;1;31/03/2024;1;
5;20240331;1;PRL_4112621;CTP_CKV;;2;EUR;1497.24;1497.24;1;31/03/2024;1;
5;20240331;1;PRL_4112622;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112630;CTP_CKV;;2;EUR;192090.19;192090.19;1;31/03/2024;1;
5;20240331;1;PRL_4112631;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112640;CTP_CKV;;2;EUR;27377.69;27377.69;1;31/03/2024;1;
5;20240331;1;PRL_4112650;CTP_CKV;;1;EUR;4403.86;4403.86;1;31/03/2024;1;
5;20240331;1;PRL_4112680;CTP_CKV;;2;EUR;15075.90;15075.90;1;31/03/2024;1;
5;20240331;1;PRL_4112681;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112691;CTP_CKV;;1;EUR;134849.96;134849.96;1;31/03/2024;1;
5;20240331;1;PRL_4112692;CTP_CKV;;2;EUR;280625.49;280625.49;1;31/03/2024;1;
5;20240331;1;PRL_4112693;CTP_CKV;;2;EUR;21020.38;21020.38;1;31/03/2024;1;
5;20240331;1;PRL_4112694;CTP_CKV;;1;EUR;1431.08;1431.08;1;31/03/2024;1;
5;20240331;1;PRL_4112695;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4112696;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4114210;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4114215;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4114222;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4114225;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4132200;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4132420;CTP_CKV;;2;EUR;396776.11;396776.11;1;31/03/2024;1;
5;20240331;1;PRL_4132430;CTP_CKV;;2;EUR;450.00;450.00;1;31/03/2024;1;
5;20240331;1;PRL_4132450;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4132460;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4132470;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4161210;CTP_CKV;;2;EUR;58000.00;58000.00;1;31/03/2024;1;
5;20240331;1;PRL_4161220;CTP_CKV;;2;EUR;86466.28;86466.28;1;31/03/2024;1;
5;20240331;1;PRL_4164100;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4164200;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4164300;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172110;CTP_CKV;;2;EUR;5325.42;5325.42;1;31/03/2024;1;
5;20240331;1;PRL_4172120;CTP_CKV;;2;EUR;112880.61;112880.61;1;31/03/2024;1;
5;20240331;1;PRL_4172121;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172130;CTP_CKV;;2;EUR;48751.67;48751.67;1;31/03/2024;1;
5;20240331;1;PRL_4172131;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172140;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172210;CTP_CKV;;1;EUR;8979.50;8979.50;1;31/03/2024;1;
5;20240331;1;PRL_4172220;CTP_CKV;;2;EUR;354664.43;354664.43;1;31/03/2024;1;
5;20240331;1;PRL_4172221;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172230;CTP_CKV;;2;EUR;119931.78;119931.78;1;31/03/2024;1;
5;20240331;1;PRL_4172231;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172300;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172400;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172500;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4172800;CTP_CKV;;2;EUR;40632.36;40632.36;1;31/03/2024;1;
5;20240331;1;PRL_4172850;CTP_CKV;;2;EUR;12600.00;12600.00;1;31/03/2024;1;
5;20240331;1;PRL_4172860;CTP_CKV;;2;EUR;3000.00;3000.00;1;31/03/2024;1;
5;20240331;1;PRL_4172870;CTP_CKV;;2;EUR;1507.40;1507.40;1;31/03/2024;1;
5;20240331;1;PRL_4172880;CTP_CKV;;2;EUR;49720.13;49720.13;1;31/03/2024;1;
5;20240331;1;PRL_4172890;CTP_CKV;;2;EUR;5483.42;5483.42;1;31/03/2024;1;
5;20240331;1;PRL_4172900;CTP_CKV;;2;EUR;345049.00;345049.00;1;31/03/2024;1;
5;20240331;1;PRL_4181000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4182000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4250000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4301000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4302000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4303000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_4520000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5111110;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5111120;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5111200;CTP_CKV;;1;EUR;22031.24;22031.24;1;31/03/2024;1;
5;20240331;1;PRL_5111210;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112210;CTP_CKV;;1;EUR;37.30;37.30;1;31/03/2024;1;
5;20240331;1;PRL_5112220;CTP_CKV;;1;EUR;115.77;115.77;1;31/03/2024;1;
5;20240331;1;PRL_5112221;CTP_CKV;;1;EUR;123846.20;123846.20;1;31/03/2024;1;
5;20240331;1;PRL_5112222;CTP_CKV;;1;EUR;137.86;137.86;1;31/03/2024;1;
5;20240331;1;PRL_5112223;CTP_CKV;;1;EUR;3699116.98;3699116.98;1;31/03/2024;1;
5;20240331;1;PRL_5112230;CTP_CKV;;1;EUR;58549.90;58549.90;1;31/03/2024;1;
5;20240331;1;PRL_5112240;CTP_CKV;;1;EUR;1025167.41;1025167.41;1;31/03/2024;1;
5;20240331;1;PRL_5112250;CTP_CKV;;1;EUR;3969553.79;3969553.79;1;31/03/2024;1;
5;20240331;1;PRL_5112251;CTP_CKV;;2;EUR;166.58;166.58;1;31/03/2024;1;
5;20240331;1;PRL_5112252;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112253;CTP_CKV;;1;EUR;793.60;793.60;1;31/03/2024;1;
5;20240331;1;PRL_5112255;CTP_CKV;;1;EUR;1369.02;1369.02;1;31/03/2024;1;
5;20240331;1;PRL_5112257;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112258;CTP_CKV;;1;EUR;122.01;122.01;1;31/03/2024;1;
5;20240331;1;PRL_5112260;CTP_CKV;;2;EUR;141.43;141.43;1;31/03/2024;1;
5;20240331;1;PRL_5112261;CTP_CKV;;2;EUR;23.81;23.81;1;31/03/2024;1;
5;20240331;1;PRL_5112262;CTP_CKV;;2;EUR;12959.27;12959.27;1;31/03/2024;1;
5;20240331;1;PRL_5112263;CTP_CKV;;1;EUR;1684.37;1684.37;1;31/03/2024;1;
5;20240331;1;PRL_5112265;CTP_CKV;;1;EUR;2848.99;2848.99;1;31/03/2024;1;
5;20240331;1;PRL_5112267;CTP_CKV;;1;EUR;300.00;300.00;1;31/03/2024;1;
5;20240331;1;PRL_5112268;CTP_CKV;;2;EUR;531.98;531.98;1;31/03/2024;1;
5;20240331;1;PRL_5112270;CTP_CKV;;2;EUR;26460.92;26460.92;1;31/03/2024;1;
5;20240331;1;PRL_5112272;CTP_CKV;;2;EUR;2144439.70;2144439.70;1;31/03/2024;1;
5;20240331;1;PRL_5112273;CTP_CKV;;1;EUR;270631.66;270631.66;1;31/03/2024;1;
5;20240331;1;PRL_5112274;CTP_CKV;;1;EUR;59271.47;59271.47;1;31/03/2024;1;
5;20240331;1;PRL_5112275;CTP_CKV;;1;EUR;346000.02;346000.02;1;31/03/2024;1;
5;20240331;1;PRL_5112277;CTP_CKV;;1;EUR;81050.90;81050.90;1;31/03/2024;1;
5;20240331;1;PRL_5112278;CTP_CKV;;1;EUR;52022.59;52022.59;1;31/03/2024;1;
5;20240331;1;PRL_5112280;CTP_CKV;;2;EUR;63628.22;63628.22;1;31/03/2024;1;
5;20240331;1;PRL_5112281;CTP_CKV;;2;EUR;92987.78;92987.78;1;31/03/2024;1;
5;20240331;1;PRL_5112282;CTP_CKV;;1;EUR;82848.24;82848.24;1;31/03/2024;1;
5;20240331;1;PRL_5112283;CTP_CKV;;1;EUR;70137.78;70137.78;1;31/03/2024;1;
5;20240331;1;PRL_5112284;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112285;CTP_CKV;;1;EUR;111436.78;111436.78;1;31/03/2024;1;
5;20240331;1;PRL_5112287;CTP_CKV;;2;EUR;3979.60;3979.60;1;31/03/2024;1;
5;20240331;1;PRL_5112288;CTP_CKV;;2;EUR;10086.86;10086.86;1;31/03/2024;1;
5;20240331;1;PRL_5112290;CTP_CKV;;1;EUR;22594.21;22594.21;1;31/03/2024;1;
5;20240331;1;PRL_5112291;CTP_CKV;;2;EUR;21.27;21.27;1;31/03/2024;1;
5;20240331;1;PRL_5112292;CTP_CKV;;1;EUR;51681.92;51681.92;1;31/03/2024;1;
5;20240331;1;PRL_5112293;CTP_CKV;;2;EUR;3704.29;3704.29;1;31/03/2024;1;
5;20240331;1;PRL_5112294;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112295;CTP_CKV;;1;EUR;50298.40;50298.40;1;31/03/2024;1;
5;20240331;1;PRL_5112296;CTP_CKV;;1;EUR;19175.72;19175.72;1;31/03/2024;1;
5;20240331;1;PRL_5112300;CTP_CKV;;1;EUR;4103.88;4103.88;1;31/03/2024;1;
5;20240331;1;PRL_5112301;CTP_CKV;;1;EUR;1100.04;1100.04;1;31/03/2024;1;
5;20240331;1;PRL_5112306;CTP_CKV;;1;EUR;580001.65;580001.65;1;31/03/2024;1;
5;20240331;1;PRL_5112307;CTP_CKV;;1;EUR;462592.22;462592.22;1;31/03/2024;1;
5;20240331;1;PRL_5112308;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112309;CTP_CKV;;1;EUR;732015.14;732015.14;1;31/03/2024;1;
5;20240331;1;PRL_5112410;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112419;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112420;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112480;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112490;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5112500;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113110;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113120;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113130;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113135;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113140;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113150;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113160;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113165;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113170;CTP_CKV;;1;EUR;308903.35;308903.35;1;31/03/2024;1;
5;20240331;1;PRL_5113191;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113192;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113193;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113194;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113195;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113196;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113197;CTP_CKV;;2;EUR;218770.60;218770.60;1;31/03/2024;1;
5;20240331;1;PRL_5113210;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113211;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5113220;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
