STATUS;VALID_ON;LOT_TYPE_FK;TYP_ENTRY_TYPE;DTE_DEAL;DTE_ISSUE;DTE_EARLY_REDEMPTION;DTE_MATURITY;DTE_NEXT_SETTLEMENT;DTE_NEXT_INT_FIX;IDE_COUNTERPARTY_REF;IDE_ISSUER_REF;IDE_PRICING_IDENTIFIER;IDE_SOURCESYS_REF;IDE_POSITION_REF;IDE_REPO_REF;IDE_CONTRACT_REF;IDE_ISIN;DES_SECURITY;IDE_INTERNAL_PARTY_REF;PER_OWNERSHIP;PER_VOTINGRIGHT;PRD_PRODUCT;QUA_NUMBEROFUNITS;RTE_AAR_INTEREST;TYP_BS_INDICATOR;TYP_FIDUCIARY_SERV;TYP_CONVERTIBLE;TYP_LISTED;TYP_MANAGED_ASSET;TYP_LOCAL_FUNDING;TYP_QUALIFYING;TYP_RISK_QUAL_INDIC;TYP_THIRDPARTY_INDIC;TYP_SUBORDINATION;TYP_INTEREST_RATE;TYP_VALUATION_METHOD;TYP_PURPOSE;TYP_PORTFOLIO;IDE_CUSTODIAN_REF;TYP_PLEDGED;TYP_CAP_GUARANTEE;TYP_CONTRACT;AUDIT_INFO;TYP_MARKETABLE;TYP_ASSET_BACKED;TYP_LIQ_ELIGIBLE;DTE_INELIGIBLE;TYP_LIQ_QUALITY;DTE_PAST_DUE;TYP_EARLY_REPAYMENT;TYP_LIQ_PURPOSE;TYP_TRADABLE;TYP_PRICE_DETERMINATION;TYP_LIQ_AVAILABILITY;TYP_LIQ_MANAGEMENT;TYP_OPERATIONALLY_LIQ;TYP_PROMOTIONAL_LOAN;TYP_MKT_CONCENTRATION;TYP_LIQ_SOURCE_RELIABILITY;TYP_CCP_EXPOSURE;PER_EXPOSURE_HCT;TYP_INDEX;TYP_LIQ_RETAIL;TYP_OMO;TYP_REHYPOTH;RTE_YIELD_SPREAD;TYP_LCR_ASSET;PER_LCR;TYP_COVERBOND;TYP_PRIMARY_CLASS_COVER_POOL;PER_OVERCOLL_CONTRACTUAL;TYP_INFLOW_CAP;TYP_CIU_COMPLIANCE;DTE_INT_START;TYP_INTEREST_PAY_FREQUENCY;TYP_LCR_ELIGIBLE;PER_COLL_HCT_ECB;TYP_OBLIGATED_INV;CDE_COMMODITY;DTE_SETTLEMENT;TYP_EXCLUDE_LCR;DTE_POSSESSION;IDE_PTF_REF;PER_MIN_COLL_COV;PRD_INSURANCE;TYP_CONTINUING_INV;TYP_FAIRV_ASSESS;TYP_FV_OPTION;TYP_IMPAIRMENT;TYP_IMPAIRMENT_OPEN;TYP_LEASING_TYPE;TYP_NON_PERFORMING;TYP_PAYMENT_SERV;TYP_PORTFOLIO_IFRS9;TYP_PROBATION;TYP_RESTRUCTURED;TYP_SEPARATED_CONTRACT;TYP_WRITE_OFF;MAT_PAST_DUE;TYP_ORIGIN_INV;TYP_SECURITISATION;TYP_SETT_CREDIT;TYP_RESECURITISATION;TYP_CORRELATION_TRADING;PER_AVG_WEIGHT;TYP_ASSESSMENT;TYP_ELIGIBILITY_FUND;IDE_SECURITISATION_REF;TYP_DEDUCTION;TYP_COREP_TRAD_POS;TYP_SIGNIFICANT_INVEST;IDE_CONVERTIBLE_REF;TYP_MAND_CONVERTIBLE;DTE_CLEANUP;DTE_TERMINATION;CTY_ASSETS_SECURITISED;RTE_MOD_DURATION;IDE_TRANSFEREE_REF;RTE_DURATION;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;IDE_BROKER_REF;RTE_SPREAD;MAT_ORIGINAL;IDE_IBAN
5;20240331;1;0;01/06/2014;01/06/2014;;01/06/2024;;;GRP_908428001023;CTP_CKV;;PROGRESS 600SEC;POS_530005700894;;CON_908428001023;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;179;3653;
5;20240331;1;0;15/06/2014;15/06/2014;;15/06/2024;;;GRP_908428001528;CTP_CKV;;PROGRESS 600SEC;POS_530006700806;;CON_908428001528;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;178;3653;
5;20240331;1;0;01/09/2014;01/09/2014;;01/09/2024;;;GRP_906402003954;CTP_CKV;;PROGRESS 600SEC;POS_530007700815;;CON_906402003954;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_8200;231;3653;
5;20240331;1;0;01/12/2014;01/12/2014;;01/12/2024;;;GRP_906402006984;CTP_CKV;;PROGRESS 600SEC;POS_530008700925;;CON_906402006984;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_8200;254;3653;
5;20240331;1;0;01/01/2015;01/01/2015;;01/01/2025;;;GRP_908402004821;CTP_CKV;;PROGRESS 600SEC;POS_530009700934;;CON_908402004821;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;270;3653;
5;20240331;1;0;01/01/2015;01/01/2015;;01/01/2025;;;GRP_908402015430;CTP_CKV;;PROGRESS 600SEC;POS_530010700943;;CON_908402015430;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;270;3653;
5;20240331;1;0;01/01/2015;01/01/2015;;01/01/2025;;;GRP_908402015329;CTP_CKV;;PROGRESS 600SEC;POS_530011700952;;CON_908402015329;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;270;3653;
5;20240331;1;0;01/01/2015;01/01/2015;;01/01/2025;;;GRP_908402015329;CTP_CKV;;PROGRESS 600SEC;POS_530012701062;;CON_908402015329;;;CTP_CKV;;;300901;1;0.0300;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;245;3653;
5;20240331;1;0;01/01/2015;01/01/2015;;01/01/2025;;;GRP_908402001282;CTP_CKV;;PROGRESS 600SEC;POS_530013700970;;CON_908402001282;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;270;3653;
5;20240331;1;0;01/01/2015;01/01/2015;;01/01/2025;;;GRP_908428001124;CTP_CKV;;PROGRESS 600SEC;POS_530014700979;;CON_908428001124;;;CTP_CKV;;;300901;1;0.0325;2;;;;;;;;;;1;7;;20;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Schuldbewijs;Gedematerialiseerd depobewijs;BRO_4948;270;3653;
