STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;IDE_INTERNAL_PARTY_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_AMOUNT;DTE_VALUE;IDE_SCENARIO_FK;AUDIT_INFO
5;20240331;1;POS_530005700894;CTP_CKV;2;EUR;250000.00;250000.00;1;1/06/2014;0;
5;20240331;1;POS_530005700894;CTP_CKV;2;EUR;250000.00;250000.00;3;1/06/2014;0;
5;20240331;1;POS_530005700894;CTP_CKV;2;EUR;6748.6;6748.6;20;1/06/2014;0;
5;20240331;1;POS_530006700806;CTP_CKV;2;EUR;355000.00;355000.00;1;15/06/2014;0;
5;20240331;1;POS_530006700806;CTP_CKV;2;EUR;355000.00;355000.00;3;15/06/2014;0;
5;20240331;1;POS_530006700806;CTP_CKV;2;EUR;9141.74;9141.74;20;15/06/2014;0;
5;20240331;1;POS_530007700815;CTP_CKV;2;EUR;250000.00;250000.00;1;1/09/2014;0;
5;20240331;1;POS_530007700815;CTP_CKV;2;EUR;250000.00;250000.00;3;1/09/2014;0;
5;20240331;1;POS_530007700815;CTP_CKV;2;EUR;4706.26;4706.26;20;1/09/2014;0;
5;20240331;1;POS_530008700925;CTP_CKV;2;EUR;395000.00;395000.00;1;1/12/2014;0;
5;20240331;1;POS_530008700925;CTP_CKV;2;EUR;395000.00;395000.00;3;1/12/2014;0;
5;20240331;1;POS_530008700925;CTP_CKV;2;EUR;4244.09;4244.09;20;1/12/2014;0;
5;20240331;1;POS_530009700934;CTP_CKV;2;EUR;453000.00;453000.00;1;1/01/2015;0;
5;20240331;1;POS_530009700934;CTP_CKV;2;EUR;453000.00;453000.00;3;1/01/2015;0;
5;20240331;1;POS_530009700934;CTP_CKV;2;EUR;3620.29;3620.29;20;1/01/2015;0;
5;20240331;1;POS_530010700943;CTP_CKV;2;EUR;453000.00;453000.00;1;1/01/2015;0;
5;20240331;1;POS_530010700943;CTP_CKV;2;EUR;453000.00;453000.00;3;1/01/2015;0;
5;20240331;1;POS_530010700943;CTP_CKV;2;EUR;3620.29;3620.29;20;1/01/2015;0;
5;20240331;1;POS_530011700952;CTP_CKV;2;EUR;453000.00;453000.00;1;1/01/2015;0;
5;20240331;1;POS_530011700952;CTP_CKV;2;EUR;453000.00;453000.00;3;1/01/2015;0;
5;20240331;1;POS_530011700952;CTP_CKV;2;EUR;3620.29;3620.29;20;1/01/2015;0;
5;20240331;1;POS_530012701062;CTP_CKV;2;EUR;250000.00;250000.00;1;1/01/2015;0;
5;20240331;1;POS_530012701062;CTP_CKV;2;EUR;250000.00;250000.00;3;1/01/2015;0;
5;20240331;1;POS_530012701062;CTP_CKV;2;EUR;1844.26;1844.26;20;1/01/2015;0;
5;20240331;1;POS_530013700970;CTP_CKV;2;EUR;250000.00;250000.00;1;1/01/2015;0;
5;20240331;1;POS_530013700970;CTP_CKV;2;EUR;250000.00;250000.00;3;1/01/2015;0;
5;20240331;1;POS_530013700970;CTP_CKV;2;EUR;1997.94;1997.94;20;1/01/2015;0;
5;20240331;1;POS_530014700979;CTP_CKV;2;EUR;250000.00;250000.00;1;1/01/2015;0;
5;20240331;1;POS_530014700979;CTP_CKV;2;EUR;250000.00;250000.00;3;1/01/2015;0;
5;20240331;1;POS_530014700979;CTP_CKV;2;EUR;1997.94;1997.94;20;1/01/2015;0;
5;20240331;1;POS_530015701089;CTP_CKV;2;EUR;270000.00;270000.00;1;1/02/2015;0;
5;20240331;1;POS_530015701089;CTP_CKV;2;EUR;270000.00;270000.00;3;1/02/2015;0;
5;20240331;1;POS_530015701089;CTP_CKV;2;EUR;1305.74;1305.74;20;1/02/2015;0;
5;20240331;1;POS_530016701001;CTP_CKV;2;EUR;250000.00;250000.00;1;1/02/2015;0;
5;20240331;1;POS_530016701001;CTP_CKV;2;EUR;250000.00;250000.00;3;1/02/2015;0;
5;20240331;1;POS_530016701001;CTP_CKV;2;EUR;1209.02;1209.02;20;1/02/2015;0;
5;20240331;1;POS_530017701010;CTP_CKV;2;EUR;250000.00;250000.00;1;1/02/2015;0;
5;20240331;1;POS_530017701010;CTP_CKV;2;EUR;250000.00;250000.00;3;1/02/2015;0;
5;20240331;1;POS_530017701010;CTP_CKV;2;EUR;1209.02;1209.02;20;1/02/2015;0;
5;20240331;1;POS_530018701019;CTP_CKV;2;EUR;250000.00;250000.00;1;15/02/2015;0;
5;20240331;1;POS_530018701019;CTP_CKV;2;EUR;250000.00;250000.00;3;15/02/2015;0;
5;20240331;1;POS_530018701019;CTP_CKV;2;EUR;922.14;922.14;20;15/02/2015;0;
5;20240331;1;POS_530019701028;CTP_CKV;2;EUR;281000.00;281000.00;1;1/03/2015;0;
